Test Size,Random State,Neighbors,Weight,Metric,Accuracy,Precision,Recall,Specificity
0.15,456,19,distance,manhattan,0.44,0.4166666666666667,1.0,0.06666666666666667
0.15,456,21,uniform,euclidean,0.44,0.4166666666666667,1.0,0.06666666666666667
0.15,456,21,uniform,manhattan,0.44,0.4166666666666667,1.0,0.06666666666666667
0.15,456,21,distance,euclidean,0.44,0.4166666666666667,1.0,0.06666666666666667
0.15,456,21,distance,manhattan,0.44,0.4166666666666667,1.0,0.06666666666666667
0.15,456,23,uniform,euclidean,0.44,0.4166666666666667,1.0,0.06666666666666667
0.15,456,23,uniform,manhattan,0.44,0.4166666666666667,1.0,0.06666666666666667
0.15,456,23,distance,euclidean,0.44,0.4166666666666667,1.0,0.06666666666666667
0.15,456,23,distance,manhattan,0.44,0.4166666666666667,1.0,0.06666666666666667
0.15,456,25,uniform,euclidean,0.4,0.4,1.0,0.0
0.15,456,25,uniform,manhattan,0.4,0.4,1.0,0.0
0.15,456,25,distance,euclidean,0.4,0.4,1.0,0.0
0.15,456,25,distance,manhattan,0.4,0.4,1.0,0.0
0.15,456,27,uniform,euclidean,0.4,0.4,1.0,0.0
0.15,456,27,uniform,manhattan,0.4,0.4,1.0,0.0
0.15,456,27,distance,euclidean,0.4,0.4,1.0,0.0
0.15,456,27,distance,manhattan,0.4,0.4,1.0,0.0
0.15,456,29,uniform,euclidean,0.4,0.4,1.0,0.0
0.15,456,29,uniform,manhattan,0.4,0.4,1.0,0.0
0.15,456,29,distance,euclidean,0.4,0.4,1.0,0.0
0.15,456,29,distance,manhattan,0.4,0.4,1.0,0.0
0.15,456,31,uniform,euclidean,0.4,0.4,1.0,0.0
0.15,456,31,uniform,manhattan,0.4,0.4,1.0,0.0
0.15,456,31,distance,euclidean,0.4,0.4,1.0,0.0
0.15,456,31,distance,manhattan,0.4,0.4,1.0,0.0
0.15,456,33,uniform,euclidean,0.4,0.4,1.0,0.0
0.15,456,33,uniform,manhattan,0.4,0.4,1.0,0.0
0.15,456,33,distance,euclidean,0.4,0.4,1.0,0.0
0.15,456,33,distance,manhattan,0.4,0.4,1.0,0.0
0.15,456,35,uniform,euclidean,0.4,0.4,1.0,0.0
0.15,456,35,uniform,manhattan,0.4,0.4,1.0,0.0
0.15,456,35,distance,euclidean,0.4,0.4,1.0,0.0
0.15,456,35,distance,manhattan,0.4,0.4,1.0,0.0
0.15,456,37,uniform,euclidean,0.4,0.4,1.0,0.0
0.15,456,37,uniform,manhattan,0.4,0.4,1.0,0.0
0.15,456,37,distance,euclidean,0.4,0.4,1.0,0.0
0.15,456,37,distance,manhattan,0.4,0.4,1.0,0.0
0.15,456,39,uniform,euclidean,0.4,0.4,1.0,0.0
0.15,456,39,uniform,manhattan,0.4,0.4,1.0,0.0
0.15,456,39,distance,euclidean,0.4,0.4,1.0,0.0
0.15,456,39,distance,manhattan,0.4,0.4,1.0,0.0
0.15,456,41,uniform,euclidean,0.4,0.4,1.0,0.0
0.15,456,41,uniform,manhattan,0.4,0.4,1.0,0.0
0.15,456,41,distance,euclidean,0.4,0.4,1.0,0.0
0.15,456,41,distance,manhattan,0.4,0.4,1.0,0.0
0.15,456,43,uniform,euclidean,0.4,0.4,1.0,0.0
0.15,456,43,uniform,manhattan,0.4,0.4,1.0,0.0
0.15,456,43,distance,euclidean,0.4,0.4,1.0,0.0
0.15,456,43,distance,manhattan,0.4,0.4,1.0,0.0
0.15,456,45,uniform,euclidean,0.4,0.4,1.0,0.0
0.15,456,45,uniform,manhattan,0.4,0.4,1.0,0.0
0.15,456,45,distance,euclidean,0.4,0.4,1.0,0.0
0.15,456,45,distance,manhattan,0.4,0.4,1.0,0.0
0.15,456,47,uniform,euclidean,0.4,0.4,1.0,0.0
0.15,456,47,uniform,manhattan,0.4,0.4,1.0,0.0
0.15,456,47,distance,euclidean,0.4,0.4,1.0,0.0
0.15,456,47,distance,manhattan,0.4,0.4,1.0,0.0
0.15,456,49,uniform,euclidean,0.4,0.4,1.0,0.0
0.15,456,49,uniform,manhattan,0.4,0.4,1.0,0.0
0.15,456,49,distance,euclidean,0.4,0.4,1.0,0.0
0.15,456,49,distance,manhattan,0.4,0.4,1.0,0.0
0.15,456,51,uniform,euclidean,0.4,0.4,1.0,0.0
0.15,456,51,uniform,manhattan,0.4,0.4,1.0,0.0
0.15,456,51,distance,euclidean,0.4,0.4,1.0,0.0
0.15,456,51,distance,manhattan,0.4,0.4,1.0,0.0
0.15,14,1,uniform,euclidean,0.52,0.4,0.6666666666666666,0.4375
0.15,14,1,uniform,manhattan,0.44,0.35294117647058826,0.6666666666666666,0.3125
0.15,14,1,distance,euclidean,0.52,0.4,0.6666666666666666,0.4375
0.15,14,1,distance,manhattan,0.44,0.35294117647058826,0.6666666666666666,0.3125
0.15,14,3,uniform,euclidean,0.64,0.5,1.0,0.4375
0.15,14,3,uniform,manhattan,0.64,0.5,1.0,0.4375
0.15,14,3,distance,euclidean,0.64,0.5,1.0,0.4375
0.15,14,3,distance,manhattan,0.64,0.5,1.0,0.4375
0.15,14,5,uniform,euclidean,0.48,0.4090909090909091,1.0,0.1875
0.15,14,5,uniform,manhattan,0.48,0.4090909090909091,1.0,0.1875
0.15,14,5,distance,euclidean,0.48,0.4090909090909091,1.0,0.1875
0.15,14,5,distance,manhattan,0.48,0.4090909090909091,1.0,0.1875
0.15,14,7,uniform,euclidean,0.52,0.42857142857142855,1.0,0.25
0.15,14,7,uniform,manhattan,0.44,0.391304347826087,1.0,0.125
0.15,14,7,distance,euclidean,0.52,0.42857142857142855,1.0,0.25
0.15,14,7,distance,manhattan,0.44,0.391304347826087,1.0,0.125
0.15,14,9,uniform,euclidean,0.52,0.42857142857142855,1.0,0.25
0.15,14,9,uniform,manhattan,0.44,0.391304347826087,1.0,0.125
0.15,14,9,distance,euclidean,0.52,0.42857142857142855,1.0,0.25
0.15,14,9,distance,manhattan,0.44,0.391304347826087,1.0,0.125
0.15,14,11,uniform,euclidean,0.48,0.4090909090909091,1.0,0.1875
0.15,14,11,uniform,manhattan,0.4,0.375,1.0,0.0625
0.15,14,11,distance,euclidean,0.48,0.4090909090909091,1.0,0.1875
0.15,14,11,distance,manhattan,0.4,0.375,1.0,0.0625
0.15,14,13,uniform,euclidean,0.48,0.4090909090909091,1.0,0.1875
0.15,14,13,uniform,manhattan,0.4,0.375,1.0,0.0625
0.15,14,13,distance,euclidean,0.48,0.4090909090909091,1.0,0.1875
0.15,14,13,distance,manhattan,0.4,0.375,1.0,0.0625
0.15,14,19,uniform,euclidean,0.44,0.391304347826087,1.0,0.125
0.15,14,19,uniform,manhattan,0.4,0.375,1.0,0.0625
0.15,14,19,distance,euclidean,0.44,0.391304347826087,1.0,0.125
0.15,14,19,distance,manhattan,0.4,0.375,1.0,0.0625
0.15,14,21,uniform,euclidean,0.36,0.36,1.0,0.0
0.15,14,21,uniform,manhattan,0.4,0.375,1.0,0.0625
0.15,14,21,distance,euclidean,0.36,0.36,1.0,0.0
0.15,14,21,distance,manhattan,0.4,0.375,1.0,0.0625
0.15,14,23,uniform,euclidean,0.36,0.36,1.0,0.0
0.15,14,23,uniform,manhattan,0.36,0.36,1.0,0.0
0.15,14,23,distance,euclidean,0.36,0.36,1.0,0.0
0.15,14,23,distance,manhattan,0.36,0.36,1.0,0.0
0.15,14,25,uniform,euclidean,0.36,0.36,1.0,0.0
0.15,14,25,uniform,manhattan,0.36,0.36,1.0,0.0
0.15,14,25,distance,euclidean,0.36,0.36,1.0,0.0
0.15,14,25,distance,manhattan,0.36,0.36,1.0,0.0
0.15,14,27,uniform,euclidean,0.36,0.36,1.0,0.0
0.15,14,27,uniform,manhattan,0.36,0.36,1.0,0.0
0.15,14,27,distance,euclidean,0.36,0.36,1.0,0.0
0.15,14,27,distance,manhattan,0.36,0.36,1.0,0.0
0.15,14,29,uniform,euclidean,0.36,0.36,1.0,0.0
0.15,14,29,uniform,manhattan,0.36,0.36,1.0,0.0
0.15,14,29,distance,euclidean,0.36,0.36,1.0,0.0
0.15,14,29,distance,manhattan,0.36,0.36,1.0,0.0
0.15,14,31,uniform,euclidean,0.36,0.36,1.0,0.0
0.15,14,31,uniform,manhattan,0.36,0.36,1.0,0.0
0.15,14,31,distance,euclidean,0.36,0.36,1.0,0.0
0.15,14,31,distance,manhattan,0.36,0.36,1.0,0.0
0.15,14,33,uniform,euclidean,0.36,0.36,1.0,0.0
0.15,14,33,uniform,manhattan,0.36,0.36,1.0,0.0
0.15,14,33,distance,euclidean,0.36,0.36,1.0,0.0
0.15,14,33,distance,manhattan,0.36,0.36,1.0,0.0
0.15,14,35,uniform,euclidean,0.36,0.36,1.0,0.0
0.15,14,35,uniform,manhattan,0.36,0.36,1.0,0.0
0.15,14,35,distance,euclidean,0.36,0.36,1.0,0.0
0.15,14,35,distance,manhattan,0.36,0.36,1.0,0.0
0.15,14,37,uniform,euclidean,0.36,0.36,1.0,0.0
0.15,14,37,uniform,manhattan,0.36,0.36,1.0,0.0
0.15,14,37,distance,euclidean,0.36,0.36,1.0,0.0
0.15,14,37,distance,manhattan,0.36,0.36,1.0,0.0
0.15,14,39,uniform,euclidean,0.36,0.36,1.0,0.0
0.15,14,39,uniform,manhattan,0.36,0.36,1.0,0.0
0.15,14,39,distance,euclidean,0.36,0.36,1.0,0.0
0.15,14,39,distance,manhattan,0.36,0.36,1.0,0.0
0.15,14,41,uniform,euclidean,0.36,0.36,1.0,0.0
0.15,14,41,uniform,manhattan,0.36,0.36,1.0,0.0
0.15,14,41,distance,euclidean,0.36,0.36,1.0,0.0
0.15,14,41,distance,manhattan,0.36,0.36,1.0,0.0
0.15,14,43,uniform,euclidean,0.36,0.36,1.0,0.0
0.15,14,43,uniform,manhattan,0.36,0.36,1.0,0.0
0.15,14,43,distance,euclidean,0.36,0.36,1.0,0.0
0.15,14,43,distance,manhattan,0.36,0.36,1.0,0.0
