Test Size,Random State,C,Penalty,Solver,Class Weight,Accuracy,Precision,Recall,Specificity
0.25,42,10.0,l1,liblinear,,0.6666666666666666,0.7037037037037037,0.76,0.5294117647058824
0.25,42,10.0,l1,liblinear,balanced,0.6428571428571429,0.6923076923076923,0.72,0.5294117647058824
0.25,42,10.0,l2,liblinear,,0.6904761904761905,0.7307692307692307,0.76,0.5882352941176471
0.25,42,10.0,l2,liblinear,balanced,0.7142857142857143,0.76,0.76,0.6470588235294118
0.25,42,100.0,l1,liblinear,,0.5476190476190477,0.6153846153846154,0.64,0.4117647058823529
0.25,42,100.0,l1,liblinear,balanced,0.5476190476190477,0.6153846153846154,0.64,0.4117647058823529
0.25,42,100.0,l2,liblinear,,0.6190476190476191,0.6666666666666666,0.72,0.47058823529411764
0.25,42,100.0,l2,liblinear,balanced,0.6190476190476191,0.6666666666666666,0.72,0.47058823529411764
0.25,42,1000.0,l1,liblinear,,0.5476190476190477,0.6153846153846154,0.64,0.4117647058823529
0.25,42,1000.0,l1,liblinear,balanced,0.5476190476190477,0.6153846153846154,0.64,0.4117647058823529
0.25,42,1000.0,l2,liblinear,,0.5952380952380952,0.6333333333333333,0.76,0.35294117647058826
0.25,42,1000.0,l2,liblinear,balanced,0.5952380952380952,0.6333333333333333,0.76,0.35294117647058826
0.25,123,0.1,l1,liblinear,,0.5952380952380952,0.59375,0.8260869565217391,0.3157894736842105
0.25,123,0.1,l1,liblinear,balanced,0.6428571428571429,0.6666666666666666,0.6956521739130435,0.5789473684210527
0.25,123,0.1,l2,liblinear,,0.6190476190476191,0.6296296296296297,0.7391304347826086,0.47368421052631576
0.25,123,0.1,l2,liblinear,balanced,0.6190476190476191,0.6521739130434783,0.6521739130434783,0.5789473684210527
0.25,123,1.0,l1,liblinear,,0.6190476190476191,0.6521739130434783,0.6521739130434783,0.5789473684210527
0.25,123,1.0,l1,liblinear,balanced,0.5952380952380952,0.6363636363636364,0.6086956521739131,0.5789473684210527
0.25,123,1.0,l2,liblinear,,0.5476190476190477,0.5833333333333334,0.6086956521739131,0.47368421052631576
0.25,123,1.0,l2,liblinear,balanced,0.5714285714285714,0.6086956521739131,0.6086956521739131,0.5263157894736842
0.25,123,10.0,l1,liblinear,,0.5714285714285714,0.5925925925925926,0.6956521739130435,0.42105263157894735
0.25,123,10.0,l1,liblinear,balanced,0.5952380952380952,0.6153846153846154,0.6956521739130435,0.47368421052631576
0.25,123,10.0,l2,liblinear,,0.5476190476190477,0.5769230769230769,0.6521739130434783,0.42105263157894735
0.25,123,10.0,l2,liblinear,balanced,0.5476190476190477,0.5769230769230769,0.6521739130434783,0.42105263157894735
0.25,123,100.0,l1,liblinear,,0.6190476190476191,0.6296296296296297,0.7391304347826086,0.47368421052631576
0.25,123,100.0,l1,liblinear,balanced,0.6190476190476191,0.64,0.6956521739130435,0.5263157894736842
0.25,123,100.0,l2,liblinear,,0.5476190476190477,0.5714285714285714,0.6956521739130435,0.3684210526315789
0.25,123,100.0,l2,liblinear,balanced,0.5476190476190477,0.5714285714285714,0.6956521739130435,0.3684210526315789
0.25,123,1000.0,l1,liblinear,,0.6428571428571429,0.6428571428571429,0.782608695652174,0.47368421052631576
0.25,123,1000.0,l1,liblinear,balanced,0.6428571428571429,0.6428571428571429,0.782608695652174,0.47368421052631576
0.25,123,1000.0,l2,liblinear,,0.5714285714285714,0.5925925925925926,0.6956521739130435,0.42105263157894735
0.25,123,1000.0,l2,liblinear,balanced,0.5714285714285714,0.5925925925925926,0.6956521739130435,0.42105263157894735
0.25,456,0.1,l1,liblinear,,0.4523809523809524,0.43243243243243246,0.8888888888888888,0.125
0.25,456,0.1,l1,liblinear,balanced,0.6666666666666666,0.6,0.6666666666666666,0.6666666666666666
0.25,456,0.1,l2,liblinear,,0.6428571428571429,0.56,0.7777777777777778,0.5416666666666666
0.25,456,0.1,l2,liblinear,balanced,0.6666666666666666,0.6,0.6666666666666666,0.6666666666666666
0.25,456,1.0,l1,liblinear,,0.6904761904761905,0.6,0.8333333333333334,0.5833333333333334
0.25,456,1.0,l1,liblinear,balanced,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.75
0.25,456,1.0,l2,liblinear,,0.6904761904761905,0.6190476190476191,0.7222222222222222,0.6666666666666666
0.25,456,1.0,l2,liblinear,balanced,0.7142857142857143,0.65,0.7222222222222222,0.7083333333333334
0.25,456,10.0,l1,liblinear,,0.6428571428571429,0.5652173913043478,0.7222222222222222,0.5833333333333334
0.25,456,10.0,l1,liblinear,balanced,0.6428571428571429,0.5652173913043478,0.7222222222222222,0.5833333333333334
0.25,456,10.0,l2,liblinear,,0.6428571428571429,0.5652173913043478,0.7222222222222222,0.5833333333333334
0.25,456,10.0,l2,liblinear,balanced,0.6666666666666666,0.5909090909090909,0.7222222222222222,0.625
0.25,456,100.0,l1,liblinear,,0.6190476190476191,0.5454545454545454,0.6666666666666666,0.5833333333333334
0.25,456,100.0,l1,liblinear,balanced,0.6428571428571429,0.5714285714285714,0.6666666666666666,0.625
0.25,456,100.0,l2,liblinear,,0.6190476190476191,0.5454545454545454,0.6666666666666666,0.5833333333333334
0.25,456,100.0,l2,liblinear,balanced,0.6190476190476191,0.5454545454545454,0.6666666666666666,0.5833333333333334
0.25,456,1000.0,l1,liblinear,,0.6190476190476191,0.5454545454545454,0.6666666666666666,0.5833333333333334
0.25,456,1000.0,l1,liblinear,balanced,0.6190476190476191,0.5454545454545454,0.6666666666666666,0.5833333333333334
0.25,456,1000.0,l2,liblinear,,0.6190476190476191,0.5454545454545454,0.6666666666666666,0.5833333333333334
